"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weed Management","weedicide","recomended glyphosate 2lit/acre","TELANGANA","KARIMNAGAR","HUZURABAD                                         ","2014-09-03 08:27:13.920"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","mostly cloudy and shower","TELANGANA","KARIMNAGAR","KATARAM                                           ","2014-09-06 09:26:12.430"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","a couple of thunder strom and little shower","TELANGANA","KARIMNAGAR","KATHALAPUR                                        ","2014-09-06 09:47:35.987"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weather","weather report","cloudy ,thunder storms","TELANGANA","KARIMNAGAR","HUSNABAD                                          ","2014-09-06 19:21:20.980"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","Today
Sep 7
Heavy rain and a thunderstorm 24°Lo 22° 
more Mon
Sep 8
Mostly cloudy, showers around 25°Lo 21°","TELANGANA","KARIMNAGAR","VEENAVANKA                                        ","2014-09-07 07:38:21.527"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest  in cotton","rogar 2ml/lit water","TELANGANA","KARIMNAGAR","KONARAOPET                                        ","2014-09-07 13:37:25.910"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","soil testing","phn number","TELANGANA","KARIMNAGAR","SRIRAMPUR                                         ","2014-09-07 15:04:18.017"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","asking about field","crop suitable rice","TELANGANA","KARIMNAGAR","YELLAREDDIPET                                     ","2014-09-08 08:27:48.627"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recommended carbofuron 3G 10kg,corazine 0.4ml/lit water","TELANGANA","KARIMNAGAR","KAMALAPUR                                         ","2014-09-08 11:14:14.643"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","weed problem in rice","top -star","TELANGANA","KARIMNAGAR","YELLAREDDIPET                                     ","2014-09-09 07:09:05.440"
