"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Aapke yaha 2 august se 6 august tak baris ki hone ki sambhawana hai","UTTAR PRADESH","ALIGARH","GANGIRI                                           ","2014-08-01 06:32:38.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me rog hai kya daw de","hexaconazol@400gram + streptocyclin @ 6 kg/acar de","UTTAR PRADESH","ALIGARH","GANGIRI                                           ","2014-08-01 06:41:45.000"
"","AGRICULTURE","Others","Others","","dhan me ghas ho gayi hi","nomini gold 80ml dawa 150liter pani milkar/acre","UTTAR PRADESH","ALIGARH","GANGIRI                                           ","2014-08-01 07:47:25.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me groth ke liye.","urea ke sath amino acid dalo.","UTTAR PRADESH","ALIGARH","KHAIR                                             ","2014-08-01 08:02:59.000"
"","AGRICULTURE","Others","Others","Weather","mausam ke baare me bataye","3 -5 augst me tej baarish ki sambhavna hai","UTTAR PRADESH","ALIGARH","TAPPAL                                            ","2014-08-01 08:08:07.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dabao me kya antar hai","give tha full information","UTTAR PRADESH","ALIGARH","GONDA                                             ","2014-08-01 08:09:38.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","chlorimuran ethyle 10% kis kam me aata hai","chlorimuran ethyle 10% yeh ek kharpatwarnashi hai","UTTAR PRADESH","ALIGARH","BIJAULI                                           ","2014-08-01 08:32:21.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan  03,04,05  August ko varsha hone kee sambhawana hai","UTTAR PRADESH","ALIGARH","BIJAULI                                           ","2014-08-01 08:33:08.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki phasal sukh rhi hai","Hexaconazole 5% EC 2ML/LITER + Cypermethrin 25% 2ml/liter pani me spray kare","UTTAR PRADESH","ALIGARH","JAWAN SIKANDERPUR                                 ","2014-08-01 09:01:20.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CHLORIMURON (all mix) kis liye use karte hai","aap all mix dawa ko dhaan me kharpatwar ke liye pryog karte hai","UTTAR PRADESH","ALIGARH","BIJAULI                                           ","2014-08-01 09:29:31.000"
