"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","pool jad raha hai","palanofix 4ml/li ka spray kare","UTTAR PRADESH","BALLIA","BELHARI                                           ","2014-08-01 06:54:40.000"
"","AGRICULTURE","Others","Others","","masuam ki jankari","barsat ki sambhabna hai","UTTAR PRADESH","BALLIA","SOHANV                                            ","2014-08-01 06:56:45.000"
"","HORTICULTURE","Vegetables","Pumpkin","","pumpkin ka phul gir rahe hai","planofix 1ml/5 liter pani me milakar sprey kare","UTTAR PRADESH","BALLIA","BELHARI                                           ","2014-08-01 07:11:13.000"
"","HORTICULTURE","Fruits","Mango","","mango ka plant pila ho jata hai","awaz chali gyi dobara kre","UTTAR PRADESH","BALLIA","BANSDIH                                           ","2014-08-01 12:27:58.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan  03,04,05  August ko varsha hone kee sambhawana hai","UTTAR PRADESH","BALLIA","NAVANAGAR                                         ","2014-08-01 12:49:02.000"
"","AGRICULTURE","Others","Others","","Ballia ka mosam","barish ki sambhawana hai","UTTAR PRADESH","BALLIA","SOHANV                                            ","2014-08-01 13:50:03.000"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSUM KI JANKARI DE","BARISH HO SAKATI HAI","UTTAR PRADESH","BALLIA","HANUMANGANJ                                       ","2014-08-01 14:37:34.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","","toryi  ke ful  gir  rhe","plano fix  .5  ml  /  liter  pani  ka  spre","UTTAR PRADESH","BALLIA","HANUMANGANJ                                       ","2014-08-01 14:47:31.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER REPORT BATAO.","KISAN BHAI SE BHARI VARSHA HONE KI SAMBHAVNA HAIN.","UTTAR PRADESH","BALLIA","NAVANAGAR                                         ","2014-08-01 19:57:27.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","MAUSAM","BARSAT HOGI","UTTAR PRADESH","BALLIA","SIAR                                              ","2014-08-01 20:17:40.000"
"","HORTICULTURE","Vegetables","Brinjal","","baigan me kida lga hai","trizophos 40%ec. 400 ml/acre ko 200 li pani me milakar spray karo.","UTTAR PRADESH","BALLIA","BAIRIA                                            ","2014-08-01 20:57:41.000"
"","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANAKRI","AALLAHABAD ME 3,4,5,6,,AUGUST KO BARIS HAI","UTTAR PRADESH","BALLIA","BERUARBARI                                        ","2014-08-01 21:48:17.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ka paudha sookh raha hai, peelapan bhi hai","sinchai kare, urea+zinc sulphet dale, cartap 4G-8 kilo/ekd","UTTAR PRADESH","BALLIA","BAIRIA                                            ","2014-08-02 06:11:34.000"
