"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Pea (Vegetable)","Plasticulture","pea ki jankari ke liye","set-oct me buvai kare","UTTAR PRADESH","JHANSI","CHIRGAON                                          ","2014-08-01 07:04:13.000"
"","AGRICULTURE","Others","Others","","mosam ke bare me batao.","5 AUGUST KI SHAM KO BARISH HO SAKTI HE.","UTTAR PRADESH","JHANSI","BABINA                                            ","2014-08-01 07:37:26.000"
"","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","tili ka patta pila pad rha hai","25 kg urea +  2 kg sulpher / acre","UTTAR PRADESH","JHANSI","GURSARAI                                          ","2014-08-01 08:35:15.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","baigain me kide lage hai","Carbosulfan 25% EC 400 ml / acre ka spray karen","UTTAR PRADESH","JHANSI","BADAGAON                                          ","2014-08-01 08:58:50.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","stem borer in brinjal","Phosphamidon 40% SL 350-500 ml  / acre","UTTAR PRADESH","JHANSI","BADAGAON                                          ","2014-08-01 09:01:29.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","KHAD ME KYA PRYOG KARE","SSP, MOP UREA KA PRYOG KARE","UTTAR PRADESH","JHANSI","CHIRGAON                                          ","2014-08-01 09:32:36.000"
"JAYAD","HORTICULTURE","Fruits","Lemon","	Plant Protection	","pest in lemon","Monocrotophos 36% SC 1.5 - 2 ml / liter pani ka ghool banaker spray kare","UTTAR PRADESH","JHANSI","CHIRGAON                                          ","2014-08-01 09:55:44.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni hai","barish ki sambhavna ban rahi hai","UTTAR PRADESH","JHANSI","CHIRGAON                                          ","2014-08-01 09:59:25.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","?  Mausam ki jankari leni hai","badal rahenge.kuch dino me barish ki sambhavna hai","UTTAR PRADESH","JHANSI","BAMAUR                                            ","2014-08-01 10:59:30.000"
"JAYAD","AGRICULTURE","Cereals","Oats ","	Water Management	","mausam ki jankari","2 3 4 ko baris ki sambhavana hai","UTTAR PRADESH","JHANSI","MAURANIPUR                                        ","2014-08-01 11:04:08.000"
