"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","makka me sundi lagi hai","kisan bhai cartap hydrocloride 4G 10 kilo/ecar ka burkav kare","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Sahawar","2014-08-01 08:15:42.000"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Credit","manure in maize","npk-19 19 19 2kg\acr","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Kasganj","2014-08-01 10:06:29.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","Training and Exposure Visits","mausam ki jankaeri","3 4 5 6 ko baris ki sambhana hai","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Kasganj","2014-08-01 10:09:24.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Water Management, Micro Irrigation","onion ki nursary ke liye","8-10kg /he ka prayog kare","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Sidhpura","2014-08-01 11:08:59.000"
"JAYAD","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","cauliflower ke paudh me galan ki samsya hai","copper oxi chloride-2.5 gram/ekd","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Kasganj","2014-08-02 12:02:28.000"
"","AGRICULTURE","Others","Others","Weather","mausam ke bare me jaanna hai","parso barish ho skti hai","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Soron","2014-08-02 12:33:53.000"
"","HORTICULTURE","Vegetables","Brinjal","","began me sundi hai","korajin 60ml/acre","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Soron","2014-08-02 18:45:48.000"
"","AGRICULTURE","Others","Others","Government Schemes","sms Alert lagvana hai","poori suvidha lagayi gyi hai","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Kasganj","2014-08-03 14:19:36.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me weed hai","bispyribac sodium 80 mili/acre","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Amanpur","2014-08-03 19:57:14.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION IN Etah","BADLI HAI","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Soron","2014-08-04 17:04:38.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me weeds hai","nomini gold 80  mililiter /acre dava ka prayog kare","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Amanpur","2014-08-04 20:09:48.000"
"JAYAD","FISHERIES","Inland","Fresh Water","Fish  Marketing","matsy palan ki jankari","18001805661 par sampark kare","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Ganj Dundwara","2014-08-05 11:19:20.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me weed control","nominigold@80 ml/acre spray karen","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Sidhpura","2014-08-05 13:41:24.000"
"JAYAD","AGRICULTURE","Others","Others","","Maosm ki jankari de","Badal rhege hlki baris ho skti hai","UTTAR PRADESH","KANSI RAM NAGAR(Kasgang)","Sahawar","2014-08-05 15:17:14.000"
