"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","","mausam ki jankari","barsat ki sambhabna hai","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2014-08-01 07:42:39.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","steviya ki variety kahan milega","cimap me prapt kre","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-01 10:11:50.000"
"RABI","AGRICULTURE","Oilseeds","Brown Sarson","	Field Preparation	","mosam ki jankari","halki baris ki sambhana hai","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2014-08-01 11:59:06.000"
"","HORTICULTURE","Plantation Crops","Eculeptous","","yukeleptous me insect laga hai","cloropyriphaas 20EC 1 liter/acre dava ka prayog kare","UTTAR PRADESH","LUCKNOW","CHINHAT                                           ","2014-08-01 15:46:55.000"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","leptis mai deemak","Cartap Hydrochloride 4G 10 Kg/acre","UTTAR PRADESH","LUCKNOW","CHINHAT                                           ","2014-08-01 16:21:55.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni hai","3,4 augest me barish ki sambhavana hai","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ                                      ","2014-08-01 17:03:04.000"
"","AGRICULTURE","Cereals","Wheat","Weather","WHEATHER FORCAST","Today we expect: plus 32—29 °C°F , plus 90—84 °C°F , rain, light air. Tomorrow: plus 33—31 °C°F , plus 91—88 °C°F , rain, light breeze.","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2014-08-01 17:10:31.000"
"","HORTICULTURE","Fruits","Mango","","problem in mango","S.S.P +vermicopost ko jado me prayog kre","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2014-08-01 17:17:26.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan  ki  paodh  ki  jankari","40 din tk  lga  skte  h","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-02 06:29:55.000"
"","HORTICULTURE","Fruits","Grape","","flowering  in grapes","Spray – planofix @ 0.5ml/lit, of water","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-02 08:05:48.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TERMITS HAI KHET ME","CHLOROPAYRIPHAS KA PRYOG KARE","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-02 09:56:54.000"
"","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","anar me patti sicud rahi hai","Spray- imidacloprid 17.8sl @ 1.0ml/lit, of water","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2014-08-02 10:38:46.000"
"JAYAD","HORTICULTURE","Vegetables","Ribbed Gourd (Kali Tori)","	Plant Protection	","taroi ki patiya sikud rhi hai","dimathoate 30 E.C. @ 1.5 ml/liter pani ka spray kare 
planofix @ 1.0 ml prati 10 liter pani ka spray kare","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-02 10:45:58.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","","mausam ki jankari de","3,4,5 ko barish ki sambhabna hai","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ                                      ","2014-08-02 12:56:07.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Goat","Dairy Production","pashupalan ki jankari","18001805141 par sampark kare","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-02 13:44:47.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ki pudh pili ho rahi hai kya kare","sulphar ko khet m dal de","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-02 14:31:18.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather infor mation de","baris kee sambhavana he","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2014-08-02 15:37:26.000"
"","AGRICULTURE","Others","Others","Credit","S M S KI SEVA BAND KRANA HAI","S M S KI SEVA BAND KRANA HAI","UTTAR PRADESH","LUCKNOW","MAL                                               ","2014-08-02 16:14:23.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal padso halki varish hai","UTTAR PRADESH","LUCKNOW","MAL                                               ","2014-08-02 16:31:04.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","langadi desease?","cloaxasilin injection.","UTTAR PRADESH","LUCKNOW","KAKORI                                            ","2014-08-02 19:31:18.000"
"","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","urd ki pattiya pili pad rahi he","???????? .????? 1-1 ????/3?? ???? ?? ?????? ?????","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-02 20:59:26.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","kisan bhai 3 se 08 tak hlki barish ki sambhawna hai","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-03 08:49:24.000"
"","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","BHINDI KE PED SUKH RHE HAI","MANCOZEB 75% 500 GRAM /ACRE SPRAY KARE","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-03 09:02:07.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me dimak lgi hai","•Chlorpyriphos 20% EC @ 3-4 liter / hacter","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-03 13:55:53.000"
"JAYAD","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","Seeds","CASTOR KA BEEJ KHA SE LEN","RAJKEEYE BEEJ GODAM SE CASTOR KA BEEJ LEN SAKATE HAI","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2014-08-03 14:34:39.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","lauki me pila pan hai aur patte sukud rhe hai","daiclorovas 2 mililitre/litre pani ke sath milaakar chidcav kare","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2014-08-03 17:10:05.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAN ME PATTI WHITE PADKAR DRY HO JATI HAIN.","APPLY COPPER OXYCHLORID[50WP]@500GM.+STREPTOCYCLIN@15GM./HAC+600LIT.WATER.","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ                                      ","2014-08-03 18:54:37.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","dhan ki achi fasal ke liye kya kare","15 kilogram uriya +10kilo jaim +3 kilogram zink+1 kilogram salfur+1 kilogram+1 kilogram magnicium salfet bikher de","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2014-08-03 20:23:09.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki jad me kida h","Cartap Hydrochloride 4G 8kg/ecd dalein","UTTAR PRADESH","LUCKNOW","KAKORI                                            ","2014-08-03 20:49:25.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAN ME SOONDI CONTROL.","APPLY FORAT-10G@15KG./HAC/KARTAP HYDROCHLORID-4G@20KG./HAC-SICHAI KARTE SAMAY.","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2014-08-03 20:49:57.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kira laga hai","carbofran 10 kg /acre","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2014-08-04 06:20:01.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","bagan me kira laga hai","PLANOFIX 0.5-1 ML / LT WATER","UTTAR PRADESH","LUCKNOW","CHINHAT                                           ","2014-08-04 09:08:07.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","loki me pila pan hai","NPK 19:19:19  1 KG 200 Lt Water/ AC","UTTAR PRADESH","LUCKNOW","CHINHAT                                           ","2014-08-04 09:21:04.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","anar ki variety -bhagwa,chilly- Divya ,papaya -red ledy ,tomater -tanuja","anar ki variety -bhagwa,chilly- Divya ,papaya -red ledy ,tomater -tanuja","UTTAR PRADESH","LUCKNOW","CHINHAT                                           ","2014-08-04 09:34:43.000"
"JAYAD","AGRICULTURE","Others","Others","Fertilizer Use and Availability","UREA KA NAYA BHAV BATAYE","334 RUPYA/BORI","UTTAR PRADESH","LUCKNOW","KAKORI                                            ","2014-08-04 11:29:07.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal adso halki varish hai","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2014-08-04 17:08:51.000"
"","HORTICULTURE","Flowers","Marigold","	Plant Protection	","Gulab mai rog lag hai","Carbandazim ka spray kare","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2014-08-04 17:55:54.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","dhan me pila pan hai","n:p:k 19:19:19 ko 2 kilo/150 litre pani ke sath milaakaar chidcav kare /acre","UTTAR PRADESH","LUCKNOW","MAL                                               ","2014-08-04 21:05:17.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","DHAN ME KHAR HO GYE HAI","NIKAI GUDAI KRBA DE","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-05 07:28:02.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","Cultural Practices","loki ki jankari","apply- loki ki vistrit jankari di gai","UTTAR PRADESH","LUCKNOW","MAL                                               ","2014-08-05 07:33:32.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","bhindi e sundi hai","prapenophash + cyper @ 2 ml/liter paani me spray kre","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-05 08:30:28.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","weeds problem in field","your kisan call centre Id- UTP_4711492 ,apply glyphoset 41% s.l.@ 1 lit /100 lit water","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2014-08-05 14:23:26.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","deemak hai","cloropayarifos 20% 1litar/acre","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2014-08-05 16:58:45.000"
"JAYAD","HORTICULTURE","Vegetables","Sponge Gourd","	Plant Protection	","SPONGE GOURD-FRUIT DROPPING.","APPLY COPPER OXYCHLORID[50WP]@3GM./LIT.WATER+TRIZOPHOS[40EC]@1.0ML./LIT.WATER.","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-05 21:51:52.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me weeds ki samasya hai","bispyribac sodium 10%- 100 ml/ekd ka spray kare","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2014-08-06 07:05:22.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weed problem in paddy","nommni gold @ 80 ml/acre ka prayog karen","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2014-08-06 09:00:18.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","UREA APPLICATION IN PADDY CROP.","APPLY UREA@40KG./ACAR.","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-06 09:56:08.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki jad me sundi lag rhi hai","apply- fipronil @-10kg/acre prayog kre","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-06 14:20:09.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","mirch me phool gir rha hai","planofix .5 ml /liter of water","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-06 15:05:53.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","karela me keeda laga hai","daimethiod 2ml/liter","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-06 15:44:01.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","dha ki phasal ki jankari","apply- dhan ki phasal ke bare me vistrit jankari di gai","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2014-08-06 16:12:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me lal rang ka keeda laga hai","cartap haidro clorid 10 kg /acre","UTTAR PRADESH","LUCKNOW","MOHANLALGANJ                                      ","2014-08-06 17:10:49.000"
"","HORTICULTURE","Plantation Crops","Sagoan","	Plant Protection	","sagon ka plant laga sakte hai","aap sagon ka plant laga sakte hai","UTTAR PRADESH","LUCKNOW","CHINHAT                                           ","2014-08-06 21:56:51.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me patti per dabbe ho rahe hai","Hexaconazole 5% EC 400 ml / acre ka spray kara de","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2014-08-07 06:08:52.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari","9 se 12 tak barish hone ki sambhawana banirahengi","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-07 06:23:00.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me bhure dhabbhe ki samasya hai","carbendazim+mancozeb-400 gram/ekd, 10 din bad hexaconazole- 2 gram/liter pani ka spray kare, urea-20 gram+zinc sulphet-5 gram/liter pani","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2014-08-07 06:32:47.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","aaj kal me bearish ho skti hai","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2014-08-07 10:18:02.000"
"","HORTICULTURE","Fruits","Guava","Fertilizer Use and Availability","amrud ka ped bad nahi rha hai","10 kg FYM + 60 gm nitrozen + 30 gm phasphors + 60 gm potas / plant / year","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2014-08-07 10:42:37.000"
"","AGRICULTURE","Others","Others","","meseage english me aaya  kare","meseage english me laga dia hai","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2014-08-07 10:43:59.000"
