"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me root me suri ki samaya hai","fatera 4-5 kg /ekar","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 06:20:28.000"
"","HORTICULTURE","Vegetables","White Yam","","SOWING TIME","ABHI AAP LAGA SKTE HAI","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 06:24:41.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ki patti kali ho rahi hi","karbndazim 1.5gram+1gram mankojeb+1/2gram streptocyklin/liter pani milakar","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","MURSAN                                            ","2014-08-01 06:41:46.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION","HLKI BARISH HO SKTI HAI","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 06:52:48.000"
"JAYAD","HORTICULTURE","Vegetables","Capsicum","	Plant Protection	","Shimla mirch ki pattiyan sikud rahi hain","Quinalphos 25 % EC,1.0 ml/litre paani me milaakar spray karen","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 07:56:18.000"
"","AGRICULTURE","Others","Others","","jimikand kab lagaye","february -march me lagaye","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 07:58:03.000"
"JAYAD","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","Gajar me kon si dawa prayog karen","Spray Fluchloralin 1 lit a.i./ha immediately after sowing","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 09:37:02.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki gobh sukh rhi hai","cartap hydrochloride @ 8 kg / acre","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","HASAYAN                                           ","2014-08-01 10:30:00.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","DHAN ME KHARPATWAR HO GFAYA HI","NOMINI  GOLD 80ML DAWA 150LITER PANI MILAKAR","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 10:34:12.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","call disconnected","call disconnected","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 10:35:20.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mosam ki jankari","2-5 ko baris hine ki sambhana hai","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","SASNI                                             ","2014-08-01 10:53:59.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me sundi hai","carbofuran 3G 8.0 kilo/acre dalay","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 10:58:39.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pila pan hai","carbandazim 1 gram /liter of water","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","HATHRAS                                           ","2014-08-01 11:03:55.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me khad kya lagaye","60 kg N,25 kg zinc ka prayog kare","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 11:29:28.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kharpatwar","???????????? ?????? 10%?????? 160???? 250-300???? ???? ?? ??? ????? ????? ???????? ?????? 15-25 ??? ??? ??? ?? ??? ?? ?????? ?? ???? ??","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","HATHRAS                                           ","2014-08-01 12:58:50.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","?  Mausam ki jankari leni hai","badal rahenge.kuch dino me barish ki sambhavna hai","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 12:59:43.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ki growth ke liye kya kare","urea ke sath 8 kilo per eakr se bio zyam dal de khet m","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 14:45:26.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan me kya khad lagaye","dhaan me urea 45-50 kg + zinc sulphate  8-10 kg / acre ka prayog kare","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","SADABAD                                           ","2014-08-01 14:49:46.000"
"RABI","HORTICULTURE","Fruits","Papaya","Cultural Practices","CULTIIVATION OF PAPAYA","ANSWER GIVEN IN DETAIL","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 15:45:16.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki jankre","3,4,5 tak mausam kharanb rhegga","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 16:27:45.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","MAUSAM KI JANKARI.","KISAN BHAI 02 AGUST-07 AGUST TAK BHARI VARSHA HOGI.","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-01 16:34:36.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan me Kharpatwar Ke Liye Kya Dale","bispyriback sodium 80ml/acre  me spray kare","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","SADABAD                                           ","2014-08-02 06:20:53.000"
"","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Aapke yaha 1 august se 5 august tak baris ki hone ki sambhawana hai","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","SADABAD                                           ","2014-08-02 06:52:49.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","mausam kaisa rhega","3 se 5 tak tez barish ki sambhna hai","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-02 07:44:01.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan pla pila ho rha hai","tez  bole abaz ni a rhi hai","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-02 07:54:00.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me kya daale","urea + sulphar ka burkaw kare","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-02 07:59:31.000"
"","AGRICULTURE","Others","Others","Weather","mausem ki jankari","2,3,4,5 august ko baris ki sambhavna hai","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","","2014-08-02 09:04:58.000"
