"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me Gandhi lag raha hai","melathion ka burkav kare","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-09-02 06:35:43.993"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","urea ka spray karwana chahte he","spray 20 gm urea /lit water","UTTAR PRADESH","MAINPURI","KURAOLI                                           ","2014-09-02 17:25:48.940"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","urea ka spray karwana chahte he","spray 20 gm urea /lit water","UTTAR PRADESH","MAINPURI","KURAOLI                                           ","2014-09-02 17:25:48.940"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari ke liye","badal  bane rahage  barish ki jankari ke liye","UTTAR PRADESH","MAINPURI","","2014-09-04 06:58:58.097"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Cold Storage","mausam ki jankari","4 5 6 ko baris ki sambhavana hai","UTTAR PRADESH","MAINPURI","MAINPURI                                          ","2014-09-04 11:28:59.370"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","papite ke patte sikud rahe hai","Imidachloprid 17.8% SL @ 70-100 ml/acre,Acetamiprid 20% @ 40 gram/acre 200 liter pani me gholkar chhidkaav kare","UTTAR PRADESH","MAINPURI","KARHAL                                            ","2014-09-04 14:33:50.817"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEED CONTROL IN HOLLOW LAND.","APPLY GLYFOSET[75%]@3-LITER /HAC+600LIT.WATER.","UTTAR PRADESH","MAINPURI","JAGEER                                            ","2014-09-04 16:43:57.923"
"KHARIF","HORTICULTURE","Plantation Crops","Poplar","Cultural Practices","Popular ki variety","G-3,Kranti","UTTAR PRADESH","MAINPURI","SULTANGANJ                                        ","2014-09-04 19:43:05.117"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Fungas disease in paddy","Carbendazim 12% + Mancozeb 63% WP 400 gm  dwa ko  250 liter pani me mela krke /Acar spary kre","UTTAR PRADESH","MAINPURI","SULTANGANJ                                        ","2014-09-05 08:59:13.123"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan mai kida laga hai","Carbofuron ka prayog kare","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-09-05 15:54:55.680"
"KHARIF","AGRICULTURE","Others","Others","Weed Management","dhan me ghas hai","Bspyriback sodium 10 e.c. , 80 ml / acre , ropai ke 15 – 20 din bad prayog karei","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-09-05 16:33:01.013"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER REPORT..?","KISAN BHAI HALKI VARSHA KI SAMBHAVNA BANI HAIN.","UTTAR PRADESH","MAINPURI","JAGEER                                            ","2014-09-05 19:26:37.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","dhan ki patti lal ho rhi hai","npk 18;18;18 @ 1kg/acar 200 liter paani me spray kre","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-09-05 20:15:21.287"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN ME DHABBE PAD RAHE HAI","20 GRAAM UREA + 2 ML PROPICONAZOL /LI PANI ME MILAAKAR SPRAY KARE","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-09-06 09:34:49.310"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me bali sukhi aa rahi hai","Carbendazim 12% + Mancozeb 63% WP @ 300-400 gm/acre,Triazophose 40% EC @ 2 MILILITER/LITER PANI ME GHOLKAR CHHIDKAAV KARE","UTTAR PRADESH","MAINPURI","JAGEER                                            ","2014-09-06 14:10:19.337"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","dhaan ki achchi phasal ke liye kya kare","N.P.K.19:19:19- 3 kilogram/160 liter pani me ghol kar spray kare","UTTAR PRADESH","MAINPURI","BARNAHAL                                          ","2014-09-06 15:50:25.847"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me stem borar ki dva bta de","dhaan me- foret 10 g @ 6 kg / ecar, 3 din bad hexaconazol @ 250 ml / ecar","UTTAR PRADESH","MAINPURI","BEWAR                                             ","2014-09-06 18:38:55.877"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice me fungus laga hein","Carbendazim 12% + Mancozeb 63% WP : 300-400 gm/acre","UTTAR PRADESH","MAINPURI","JAGEER                                            ","2014-09-07 06:37:29.370"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni hai","halki barish ki sambhavna hai","UTTAR PRADESH","MAINPURI","JAGEER                                            ","2014-09-07 06:53:24.910"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kya spray kare","Propiconazol 500 Ml/Acre Spray Kare","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-09-07 10:31:26.710"
"JAYAD","AGRICULTURE","Others","Others","	Water Management	","mosam ki jankari","mosam me dhup badal halki barish hone ki sambhawna hi","UTTAR PRADESH","MAINPURI","JAGEER                                            ","2014-09-07 11:01:47.457"
