"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Fruits","Lemon","	Plant Protection	","phal sad rhe hai","Carbendazim 12% + Mancozeb 63% WP @ 2 gm / liter water","UTTAR PRADESH","MIRZAPUR","CHHANVEY                                          ","2014-08-01 06:24:04.000"
"","AGRICULTURE","Others","Others","","MIRCHA KI PATTI SIKUD RAHI HI","DIFENTHURON 8GRAM DAWA 10LITER PANI MILAKAR","UTTAR PRADESH","MIRZAPUR","JAMALPUR                                          ","2014-08-01 09:22:11.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","moongphali me kira laga hai","clorophoriphos 5 ml /liter of water","UTTAR PRADESH","MIRZAPUR","JAMALPUR                                          ","2014-08-01 09:54:08.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki phasal sukh rhi hai","Hexaconazole 5% EC 2ML/LITER + Cypermethrin 25% 2ml/liter pani me spray kare","UTTAR PRADESH","MIRZAPUR","PATEHRA                                           ","2014-08-01 11:44:39.000"
"RABI","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER INFORMATION","CHANCES OF RAIN","UTTAR PRADESH","MIRZAPUR","PATEHRA                                           ","2014-08-01 14:12:38.000"
"RABI","HORTICULTURE","Vegetables","Curry Leaf","	Plant Protection	","karela ka patta sikuda hai","coper oxy cloraide ka sprey kare 3 gram/liter","UTTAR PRADESH","MIRZAPUR","LALGANJ                                           ","2014-08-01 15:30:00.000"
"","AGRICULTURE","Others","Others","Government Schemes","sms sewa nahi aa rahi hai","abhi kuch dino me sewa chalu ho jayegi","UTTAR PRADESH","MIRZAPUR","HALLIA                                            ","2014-08-01 15:54:54.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","Badal rhege hlki baris ho skti hai","UTTAR PRADESH","MIRZAPUR","MAJHAWA                                           ","2014-08-01 17:01:34.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","mausam ki jankari den","cloudy sky and heavy rain chance of 3 to 5 august","UTTAR PRADESH","MIRZAPUR","PATEHRA                                           ","2014-08-01 17:12:02.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER REPORT BATAO.","IS SAPTAH ME BHARI VARSHA KI SAMBHAVNA BANI HAIN.","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-08-01 19:37:35.000"
"RABI","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Cultural Practices","VARITIES OF BAJRA","VARITIES ARE PUSA-23,PUSA-322,RAAJ-171 & WCC-75","UTTAR PRADESH","MIRZAPUR","HALLIA                                            ","2014-08-01 20:31:59.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruiting problem in brinjal","planofix @ 2 ml/liter ka spray karen","UTTAR PRADESH","MIRZAPUR","SHIKHAR                                           ","2014-08-01 21:34:04.000"
"","AGRICULTURE","Others","Others","","mosam ke bare me batao.","3-4 august ko barish hone ki sambhavna he.","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-08-02 06:36:16.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni hai","3,4 augest me barish ki sambhavna hai","UTTAR PRADESH","MIRZAPUR","MAJHAWA                                           ","2014-08-02 06:53:54.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","mausam ki jankari de","3 se 5 tak tez barish ki sambhabna hai","UTTAR PRADESH","MIRZAPUR","MAJHAWA                                           ","2014-08-02 07:06:21.000"
"","AGRICULTURE","Others","Others","Weather","mousam ki jankari de","aapke yaha aaj halke baadal chaye rahenge","UTTAR PRADESH","MIRZAPUR","KON                                               ","2014-08-02 07:30:06.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mango ki sukane ki samay ahi","8 miter duri pe ropai kare","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-08-02 09:17:51.000"
"","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","til ki varietes","tarun,pargati, shekhr","UTTAR PRADESH","MIRZAPUR","LALGANJ                                           ","2014-08-02 10:01:46.000"
