"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","termits hai het me","chloropayriphas ka pryog kar skte hai","UTTAR PRADESH","PRATAPGARH","RAMPUR SANRAMGARH                                 ","2014-08-01 06:06:36.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan mme motha hai","bispyriback sodium @ 80 ml / acre","UTTAR PRADESH","PRATAPGARH","BIHAR                                             ","2014-08-01 07:06:03.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","dhan ki jankari ke liye","dhani ki jankari di gyi hai","UTTAR PRADESH","PRATAPGARH","SHIVGARH                                          ","2014-08-01 07:31:52.000"
"","HORTICULTURE","Vegetables","Brinjal","","baigan me keede lage hai","spray trizopphos 40 % EC 2.5 ml/ liter of water","UTTAR PRADESH","PRATAPGARH","SANDWA CHANDRIKA                                  ","2014-08-01 07:43:23.000"
"JAYAD","AGRICULTURE","Others","Others","Agriculture Mechanization","uriay sahakari wala achha hai yaa dokan ka","dono apani jagah achhihoti hai","UTTAR PRADESH","PRATAPGARH","BIHAR                                             ","2014-08-01 07:51:47.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me patti lal h","kisan bhai dhan me patti ke liye 5 kg zinc sulphate,20 kg urea,1000 litre/hactayer se chhidkav kre","UTTAR PRADESH","PRATAPGARH","BIHAR                                             ","2014-08-01 09:44:12.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","rice me fertilizer ka use","npk 1919;19 2 kilo +200 litre pani me spray","UTTAR PRADESH","PRATAPGARH","PRATAPGARH (SADAR)                                ","2014-08-01 10:05:54.000"
"","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","kadu ki patti safed safed dhabe hai","mancoeb @ 1.5 gm / liter water","UTTAR PRADESH","PRATAPGARH","PATTI                                             ","2014-08-01 11:15:44.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ke khet me ghaas ho gaya hai","pretilaclor 700 ml/acre prayog karen","UTTAR PRADESH","PRATAPGARH","BABAGANJ                                          ","2014-08-01 11:36:29.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mircha me pattiyan gurcha rahi hai","19:19:19 + Mn @ 1 %+Diafenthiuron 50 % WP 8.0 g/10 lit kaa chhidkav kare","UTTAR PRADESH","PRATAPGARH","ASPUR DEOSARA                                     ","2014-08-01 12:06:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhaan me urea kab lagayen","Ropai ke 20-25 din bad urea daale","UTTAR PRADESH","PRATAPGARH","SANDWA CHANDRIKA                                  ","2014-08-01 12:24:40.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PATTI PILI PAD RHI HAI KYA KARE","MANCHOZEB KA PRYOG KARE","UTTAR PRADESH","PRATAPGARH","BABAGANJ                                          ","2014-08-01 13:09:08.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me zinc sulphate ki matra","8.0 kilo zinc sulphate , 25-30 kilo urea /acre","UTTAR PRADESH","PRATAPGARH","LALGANJ                                           ","2014-08-01 13:16:34.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ke paudhe me deemak lagi hai","apply cartop hydrochloride  4 G  10  kg/acre","UTTAR PRADESH","PRATAPGARH","SANGIPUR                                          ","2014-08-01 13:31:05.000"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","leaf curl in chilli.","spray metasistox @ 1.5 ml./liy.of water","UTTAR PRADESH","PRATAPGARH","BABA BELKHARNATH DHAM                             ","2014-08-01 14:36:19.000"
"","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","parval me phul kam aa raha hai","spray of planofix-1 ml /4 lit paani me","UTTAR PRADESH","PRATAPGARH","SANDWA CHANDRIKA                                  ","2014-08-01 15:26:08.000"
