"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","insect in paddy","Cartap Hydrochloride 4G
10 Kg/acre","UTTAR PRADESH","SAHARANPUR","GANGOH                                            ","2014-08-01 08:00:38.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ki jadon me sadan lagi hai","carbendazim + mancozeb 2 gram prati litre paani me milaakar spray karen","UTTAR PRADESH","SAHARANPUR","RAMPUR MANIHARAN                                  ","2014-08-01 08:12:33.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","rice me weed hua hein","bispariback sodium 80 ml /acre","UTTAR PRADESH","SAHARANPUR","NAKUR                                             ","2014-08-01 08:16:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me bukani rog laga hai","carbendazim 50% 500 gram/ecar ka sprey kare","UTTAR PRADESH","SAHARANPUR","DEOBAND                                           ","2014-08-01 08:29:04.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Ganne me bradhdhi ke liye kya karen","NPK (19:19:19) 2 kgs / ACRE SPRAY KARE","UTTAR PRADESH","SAHARANPUR","DEOBAND                                           ","2014-08-01 08:38:26.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki phasal sukh rhi hai","Hexaconazole 5% EC 2ML/LITER + Cypermethrin 25% 2ml/liter pani me spray kare","UTTAR PRADESH","SAHARANPUR","RAMPUR MANIHARAN                                  ","2014-08-01 08:38:55.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam i jankari","kal se 6 tak barish hai","UTTAR PRADESH","SAHARANPUR","RAMPUR MANIHARAN                                  ","2014-08-01 08:47:13.000"
"JAYAD","AGRICULTURE","Others","Others","Agriculture Mechanization","call disconnected","call disconnected","UTTAR PRADESH","SAHARANPUR","BALLIA KHERI                                      ","2014-08-01 08:51:53.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ka podha lamba hokar sukh raha he.","carbendazime 12% + mencozeb 63%w.p. 400gm/acre ko 200 li paani me milakar spray karo.","UTTAR PRADESH","SAHARANPUR","RAMPUR MANIHARAN                                  ","2014-08-01 09:18:46.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","TOP BORER","CARTOP HYDROCHLORIDE 8-10 KIGRA PRATI ACRE PRYOG KARE","UTTAR PRADESH","SAHARANPUR","GANGOH                                            ","2014-08-01 09:20:48.000"
"","HORTICULTURE","Plantation Crops","Poplar","","poplar ke ped sukh ja rahe hai","spray copperoxychloride  2.5 gm/ liter of water","UTTAR PRADESH","SAHARANPUR","MUZAFFARABAD                                      ","2014-08-01 09:22:23.000"
"RABI","AGRICULTURE","Cereals","Oats ","	Water Management	","mausam kijankari","2 3 4 5ko baris ki sambhavana hai","UTTAR PRADESH","SAHARANPUR","DEOBAND                                           ","2014-08-01 09:39:34.000"
"RABI","AGRICULTURE","Cereals","Oats ","Soil Testing","manure in paddy","40kg potash micronutrients1okg","UTTAR PRADESH","SAHARANPUR","DEOBAND                                           ","2014-08-01 09:45:58.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ki 1509 ki pati pili hai","hexaconazol 1 ml/litre ka spray","UTTAR PRADESH","SAHARANPUR","NANAUTA                                           ","2014-08-01 10:07:33.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki phasal sukh rhi hai","Hexaconazole 5% EC 2ML/LITER + Cypermethrin 25% 2ml/liter pani me spray kare","UTTAR PRADESH","SAHARANPUR","SARSAWAN                                          ","2014-08-01 10:14:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mausam ki jankari ke liye","badal bane  hai barish ki sambhavna hai","UTTAR PRADESH","SAHARANPUR","RAMPUR MANIHARAN                                  ","2014-08-01 10:21:38.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan  shuk raha hai","cartap hydrocloride 50SP 400 gram/ecar ka sprey kare","UTTAR PRADESH","SAHARANPUR","RAMPUR MANIHARAN                                  ","2014-08-01 10:30:47.000"
"","AGRICULTURE","Others","Others","","maUSAM KI JANKARI","BARSAT KI SAMBHABNA HAI","UTTAR PRADESH","SAHARANPUR","SARSAWAN                                          ","2014-08-01 10:34:31.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan ki patti pili ho rhi hai kya kare","dhaan me aap 30-35 kg urea+ 8 kg Jaem + 10-12 kg zinc sulphate / acre ka istemaal kare","UTTAR PRADESH","SAHARANPUR","RAMPUR MANIHARAN                                  ","2014-08-01 10:41:50.000"
"JAYAD","HORTICULTURE","Vegetables","Cauliflower","Field Preparation","mitte me utpadan kam hai kya kare","mitte ke janch karaye","UTTAR PRADESH","SAHARANPUR","DEOBAND                                           ","2014-08-01 10:42:19.000"
