"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me ropaai ke baad urea kitni de","urea 35 kilogram ekad me dalwaye","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-08-01 06:38:23.000"
"","AGRICULTURE","Others","Others","","dhan ki growth nahi ho rahi hai","urea ka chidkaw kare","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-08-01 10:27:57.000"
"","AGRICULTURE","Others","Others","Weather","mausam ke baare me bataye","3-4 augst me tej baarish ki sambhvana hai","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-08-01 10:58:18.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","rice me weed control","bispariback sodium 80 ml /acre","UTTAR PRADESH","SHIVASTI","","2014-08-01 11:46:45.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","","loki ki varity bta de","pusa Naveen pusa sankar bo sakte hai app","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-08-01 14:22:38.000"
"","AGRICULTURE","Millets","Maize (Makka)","","makka me wedicide","nirai kare","UTTAR PRADESH","SHIVASTI","","2014-08-01 14:30:25.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan m kitni khad  dale btye","dhan may urea ke sath boi zyam dal de khet m","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-08-01 14:52:11.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me kya den amino zyme de sakte hai","kisan bhai de sakte hai","UTTAR PRADESH","SHIVASTI","","2014-08-01 17:48:34.000"
"RABI","AGRICULTURE","Others","Others","Weather","MOSAM KI JAnkari","halki barish ho sakti","UTTAR PRADESH","SHIVASTI","","2014-08-01 19:05:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me deemak ki samaya hai","fatera 4-5 kg /ekar","UTTAR PRADESH","SHIVASTI","","2014-08-02 07:30:40.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me kide lag rahe hai","aap dhaan cartaf hydro chloride 6-8 kigra ko prati acare ki dar se burkaw kare","UTTAR PRADESH","SHIVASTI","","2014-08-02 09:58:21.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","","narendra dev faizabad ka bara","05270-262097 per call kare","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-08-02 13:28:27.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki jankari de","03 or 04 ko barish hone ki sambhavna hai","UTTAR PRADESH","SHIVASTI","","2014-08-02 15:52:50.000"
"","AGRICULTURE","Others","Others","Weather","mosam ki jankari digia","barish ki sambhabna he","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-08-02 19:20:49.000"
"","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANAKRI","2-5 AUGUST TAK BARIS HAI","UTTAR PRADESH","SHIVASTI","","2014-08-02 19:29:05.000"
