"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","VARIETY OF CAULIFLOWER","PUSA DIPALI, SNOWBALL 1,16","UTTAR PRADESH","UNNAO","GANJ MORADABAD                                    ","2014-08-01 06:37:41.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","til me nitrobenjin ka chhidkav kiya th 3 din bad baris ho gai hai","dava kam kar jayegi","UTTAR PRADESH","UNNAO","GANJ MORADABAD                                    ","2014-08-01 08:29:59.000"
"JAYAD","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Seeds","arhar ki kisme bataye","arhar ki kisme- pusa -9, pusa -991, bahar,","UTTAR PRADESH","UNNAO","GANJ MORADABAD                                    ","2014-08-01 08:52:09.000"
"","AGRICULTURE","Millets","Maize (Makka)","","macca ki gobh me keede lage hai","apply cartop hydrochloride  4 G  10  kg/acre","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2014-08-01 09:52:25.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me rog laga hai","carbendazim 50 % 500 gram/ecar ka sprey kare","UTTAR PRADESH","UNNAO","AURAS                                             ","2014-08-01 09:59:22.000"
"JAYAD","HORTICULTURE","Fruits","Guava","	Plant Protection	","amrood me keeda laga hai","neem oil 3-4 ml/litre paani me milaakar spray karen","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2014-08-01 10:13:36.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","rice me planting","abhi mausam me barish hone ki sambhwana hein","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2014-08-01 11:28:52.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","kisan bhai 02 se 07 august tak barish ki sambhawna hai","UTTAR PRADESH","UNNAO","SIKANDARPUR KARAN                                 ","2014-08-01 12:05:49.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","weather ki jankri","abhi mausam saf nahi hein","UTTAR PRADESH","UNNAO","SUMERPUR                                          ","2014-08-01 13:53:08.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tmater ki kism-","tmater ki kism-pusa hybrid-2,8,pusa sdabahar,angurlata","UTTAR PRADESH","UNNAO","FATEHPUR CHAURASI                                 ","2014-08-01 13:54:06.000"
"JAYAD","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","cucumber me weeds hai","khira ki nirai kare","UTTAR PRADESH","UNNAO","PURWA                                             ","2014-08-01 14:09:48.000"
"","AGRICULTURE","Others","Others","","about wheather","1,2,3,4,5,6,7 ko barish hai","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2014-08-01 14:30:17.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","","mirch ki prahjati  baTAYE","kashi  gaurav, kashi  anmol . pusa  jwala","UTTAR PRADESH","UNNAO","HILAULI                                           ","2014-08-01 15:09:12.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAN  ME UREA  KYA  LAGAYE","40  KG UREA +  10  KG ZINK SALPHET 21% + 10KG BIO VITA /ACRE DAALE","UTTAR PRADESH","UNNAO","SUMERPUR                                          ","2014-08-01 15:15:20.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal padso halki varish hai","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2014-08-01 16:15:28.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me shoot borer laga hai","cartap hydrochloride 4 G @ 10kg /acre","UTTAR PRADESH","UNNAO","HILAULI                                           ","2014-08-01 16:27:33.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","wheather forcast","Today we expect: plus 32—29 °C°F , plus 90—84 °C°F , rain, light breeze. Tomorrow: plus 32—31 °C°F , plus 90—88 °C°F , heavy rain, gentle breeze","UTTAR PRADESH","UNNAO","HASANGANJ                                         ","2014-08-01 16:46:30.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","BITTER GOURD-LEAF CURLING PROBLEM.","APPLY FORATE-10G@15KG./HAC WITH MOISTUR.","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2014-08-01 18:21:53.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","any contact number of animal helpline","18001805141","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2014-08-01 18:57:45.000"
"JAYAD","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","fruiting problem in parwal","planofix @ 2 ml/liter ka spray","UTTAR PRADESH","UNNAO","SIKANDARPUR SARAUSI                               ","2014-08-01 19:30:34.000"
"","AGRICULTURE","Others","Others","Government Schemes","sms sewa leni hai","sms sewa lagi hai","UTTAR PRADESH","UNNAO","BANGARMAU                                         ","2014-08-01 20:58:49.000"
"","HORTICULTURE","Vegetables","Mushroom","","mosaroom ki jankari","mosaroom ki jankari di gai","UTTAR PRADESH","UNNAO","HASANGANJ                                         ","2014-08-01 21:27:32.000"
