"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari","barish ki sambhabanye kam hai","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-09-02 06:40:32.510"
"KHARIF","FISHERIES","Inland","Cold Water","Magur Breeding and Culture","machhlipalan ke bare me bataye","18001805661 par call kare","UTTAR PRADESH","VARANASI","PINDRA                                            ","2014-09-02 08:29:49.097"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","pasu palan ki jankari","pasu palan ki jankari pasu chikitsa adhikari se len","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-09-02 14:18:28.557"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT OF RICE","SPRAY HEXACONAZOL @ 1 ML./LIT.OF WATER","UTTAR PRADESH","VARANASI","KASHI VIDYAPEETH                                  ","2014-09-02 15:19:17.147"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","call disconnected","call disconnected","UTTAR PRADESH","VARANASI","KASHI VIDYAPEETH                                  ","2014-09-02 15:55:29.703"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pilapan hai","17:44 urea phasphet 5.5  kilogram/acre 200 liter pani me gholkar sprey kare","UTTAR PRADESH","VARANASI","CHIRAIGAON                                        ","2014-09-03 06:54:23.213"
"KHARIF","HORTICULTURE","Vegetables","Pointed Gourd","Nursery Management","parbal me phool nhi a rha hai","boom flowr de","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-09-03 14:07:40.930"
"KHARIF","HORTICULTURE","Vegetables","Pointed Gourd","Nursery Management","parbal me phool nhi a rha hai","boom flowr de","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-09-03 14:07:40.930"
"KHARIF","HORTICULTURE","Vegetables","Pointed Gourd","Nursery Management","parbal me phool nhi a rha hai","boom flowr de","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-09-03 14:07:40.930"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","LEAF VURL IN CHILLI.","SPRAY METASISTOX @ 1.5 ML./LIT.OF WATER","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-09-03 14:27:20.067"
