"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT.","CLOUDY WEATHER CHANCE OF RAINFALL.","WEST BENGAL","HOWRAH","UDAYNARAYANPUR                                    ","2014-08-01 11:36:11.000"
"JAYAD","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","CONTROL OF STEM ROT OF BETEL VINE","SPRAY COPPER OXYCHLORIDE 50% W.P. @ 4 GM/LT. OF WATER","WEST BENGAL","HOWRAH","","2014-08-01 13:01:21.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF EPILACHNA BEETLE IN BRINJAL.","RECOMMENDED TO SPRAY TRIAZOPHOS 40%EC @ 1 ML / LIT. OF WATER OR AZADIRACHTIN 1.0% EC (10000 PPM) @3ML/ LIT. OF WATER.","WEST BENGAL","HOWRAH","","2014-08-02 08:24:31.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WANT TO KNOW ABOUT WEED MANAGEMENT OF PADDY FIELD","RECOMMENDED FOR APPLY OF PYRAZO-SULFURON ETHYL 10 % WP @ 1 GM /5 LIT OF WATER","WEST BENGAL","HOWRAH","UDAYNARAYANPUR                                    ","2014-08-02 09:58:49.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER INFORMATION","RECOMENDED INFORMATION REAGDING RAINFALL N TEMP THROUGH http://www.imd.gov.in/section/nhac/distforecast/howrah.htm","WEST BENGAL","HOWRAH","","2014-08-02 11:43:01.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF WEEDS IN PADDY","RECOMMENDED FOR SPRAY BUTACHLOR 50 % EC  @ 1 LIT /3 BIGHA .","WEST BENGAL","HOWRAH","AMTA-II                                           ","2014-08-02 16:38:39.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","CONTROL OF WEED IN PADDY.","RECOMMENDED FOR SPRAY ETHOXYSULFURON 15% W.D.G @ 10 GM /LIT OF WATER AFTER 10 DAYS OF TRANSPLANTING.","WEST BENGAL","HOWRAH","SHYAMPUR-II                                       ","2014-08-02 18:31:17.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT.","CLOUDY WEATHER CHANCE OF RAINFALL.","WEST BENGAL","HOWRAH","UDAYNARAYANPUR                                    ","2014-08-03 07:08:41.000"
"JAYAD","HORTICULTURE","Vegetables","Colocasia (Arvi, Arbi)","Fertilizer Use and Availability","WANT TO KNOW ABOUT FERTILIZER APPLICATION IN COLOCASIA FIELD.","RECOMMENDED TO APPLY 25 TONNES OF FYM AND N:P:K CAN BE APPLIED ACCORDING TO SOIL TESTING REPORT AS BASAL AND NEXT AFTER 45 DAYS OF PLANTING.","WEST BENGAL","HOWRAH","DOMJUR                                            ","2014-08-03 07:16:25.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","WEED CONTROL IN PADDY","RECOMMENDED DOSE APPLY PROPANIL 35% E.C @ 3LIT/ACRE","WEST BENGAL","HOWRAH","","2014-08-03 10:28:40.000"
