"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF WHITE LEAF IN PADDY.","SPRAY CARBENDAZIM + MANCOZEB @ 2 GM / LIT OF WATER.","WEST BENGAL","JALPAIGURI","DHUPGURI                                          ","2014-08-01 09:38:48.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF STEM BORER OF PADDY","SPRAY ACEPHATE 75% S.C. @ 1.5 GM/2 LT. OF WATER","WEST BENGAL","JALPAIGURI","JALPAIGURI                                        ","2014-08-01 11:29:43.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF LEAF CURL IN CHILLI.","RECOMMENDED FOR SPRAY DIMETHOATE 30%EC @ 2 ML/LIT WATER.","WEST BENGAL","JALPAIGURI","ALIPURDUAR-II                                     ","2014-08-02 10:10:55.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER REPORT IN THE DISTRICT OF JALPAIGURI","A MEDIUM QUANTITY RAIN FALL IN THE DISTRICT OF JALPAIGURI","WEST BENGAL","JALPAIGURI","ALIPURDUAR-II                                     ","2014-08-02 10:16:57.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF WEED IN PADDY","RECOMMENDED FOR SPRAY OXADIARZYL 80% WP @ 1 ML/3.5 LIT. OF WATER","WEST BENGAL","JALPAIGURI","DHUPGURI                                          ","2014-08-03 11:40:25.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","Nutrient Management","ASKING ABOUT MICRO NUTRITION IN CHILLIES","RECOMMENDED FOR SPRAY GRADE = 2 @ 2 ML / 1 LIT OF WATER .","WEST BENGAL","JALPAIGURI","ALIPURDUAR-II                                     ","2014-08-03 12:17:45.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER REPORTS IN JALPAIGURI.","http://www.imd.gov.in/section/nhac/distforecast/jalpaiguri.htm","WEST BENGAL","JALPAIGURI","MATIALI                                           ","2014-08-03 17:07:50.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF WEEDS IN PADDY.","RECOMMENDED FOR SPRAY PRETICHLOR 50 % EC @ 250 ML/BIGHA","WEST BENGAL","JALPAIGURI","DHUPGURI                                          ","2014-08-04 10:06:20.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","CONTROL OF FRUIT BORER IN BITTER GOURD","RECOMMENDED SPRAY ACEPHATE 75% SP @ 0.75GM/LIT. OF WATER","WEST BENGAL","JALPAIGURI","JALPAIGURI                                        ","2014-08-05 08:25:14.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF  RICE CASE WORM IN PADDY.","RECOMMENDED FOR SPRAY MONOCORTOPHOS 36 % SL @ 2 ML/LIT OF WATER.","WEST BENGAL","JALPAIGURI","RAJGANJ                                           ","2014-08-05 09:29:32.000"
