"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","CONTROL OF STEM ROT IN POINTED GOURD.","SPRAY COPPER OXYCHLORAIED @ 4 GM / LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-01 07:20:40.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER REPORT.","RAIN FALL FROM 01/08/14-5 MM.;02/08/14-17 MM.;03/08/14-7 MM.; 04/08/14-7 MM.;  AND  05/08/14-9 MM.;   ID NO.------------WBL_8913944","WEST BENGAL","24 PARGANAS (NORTH)","BAGDA                                             ","2014-08-01 07:35:02.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","ASKING FOR NUTRIENT MANAGEMENT.","UREA 21DAT AND UREA +POTASH 40DAT.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-01 08:46:07.000"
"JAYAD","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","pointed gourd leaf curling","spray dimethoate @ 2ml/lt of water","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-01 09:18:16.000"
"JAYAD","HORTICULTURE","Fruits","Citrus","	Plant Protection	","CONTROL OF WHITE FLY IN CITRUS","SPRAY DIMETHOATE 30%EC @ 2 ML / LIT. OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BARRACKPUR-I                                      ","2014-08-01 10:48:07.000"
"JAYAD","HORTICULTURE","Fruits","Papaya","	Plant Protection	","CONTROL OF ANT IN PAPAYA.","SPRAY CHLORPYRIPHOS 20% EC @ 2.5 ML/LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-01 11:13:47.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FRUIT BORER IN BRINJAL.","SPRAY FLUBENDIAMIDE 39.35%EC @ 1 ML/ LIT. OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-01 14:11:47.000"
"JAYAD","HORTICULTURE","Fruits","Papaya","Cultural Practices","ASKING ABOUT CULTURAL PRACTICE IN PAPAYA.","VARIETY- PUSA MAGESTRI, PUSA DWARF, WASINGTON, RACHI. DISTANCE- 45 CM X 45 CM X 45 CM.","WEST BENGAL","24 PARGANAS (NORTH)","HAROA                                             ","2014-08-01 15:07:30.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","ASKING FOR MOZIC VIRUS ATTACK","BUFROFEZINE @ 1ML/3LIITER OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","HASNABAD                                          ","2014-08-01 16:26:48.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BACTERIL WILT IN BRINJAL.","RECOMMENDED FOR SPRAY CARBENDAZIM @ 1 GM/LIT. OF WATER AND APPLY TERAMICIN 250 MILIGRAM FOR ROOOT TREATMENT.","WEST BENGAL","24 PARGANAS (NORTH)","BAGDA                                             ","2014-08-01 16:39:08.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","CONTROL OF WHITE FLY IN BHINDI","SPRAY THIAMETHOXAM 25%WG @ 1 GM/3 LIT. OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","HASNABAD                                          ","2014-08-01 17:29:59.000"
"JAYAD","HORTICULTURE","Fruits","Papaya","Fertilizer Use and Availability","WANT TO KNOW ABOUT FERTILIZER APPLICATION IN PAPAYA.","APPLY FYM 10 KG/PLANT AS BASAL AND 50 G IN EACH OF N, P AND K PER PLANT AT BI-RECOMMENDED TO APPLY MONTHLY INTERVALS FROM THE THIRD MONTH OF PLANTING. APPLY 20 G IN EACH OF AZOSPIRILLUM AND PHOSPHOBACTERIUM AT PLANTING AGAIN SIX MONTHS AFTER PLANTING.","WEST BENGAL","24 PARGANAS (NORTH)","GAIGHATA                                          ","2014-08-01 20:17:24.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF YELLOW LEAF IN BRINJAL.","RECOMMENDED FOR SPRAY MANCOZEB @ 2.5 GM / LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-02 11:52:38.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF SHOOT BORER IN BRINJAL.","RECOMMENDED FOR SPRAY EMAMECTIN BENZOATE 5% SG 0.5GM/LIT.OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-02 14:06:10.000"
"JAYAD","HORTICULTURE","Fruits","Lemon","	Plant Protection	","CONTROL OF TERMITE IN LEMON.","RECOMMENDED FOR CHLORPYRIPHOS 20%EC @ 2-2.5 ML KORE PROTI LIT. JOLE GULE SPRAY KARUN. APNAKE 2-3 BAR SPRAY KORTE HOBE 12-15 DIN CHARA CHARA.","WEST BENGAL","24 PARGANAS (NORTH)","SWARUPNAGAR                                       ","2014-08-02 14:30:36.000"
"JAYAD","HORTICULTURE","Fruits","Banana","	Plant Protection	","CONTROL OF STEM BORER IN BANANA","RECOMMENDED FOR USE CARTAP 4% G @ 7-8 GM/PLANT","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-02 16:02:17.000"
"JAYAD","HORTICULTURE","Flowers","Marigold","	Plant Protection	","CONTROL OF STEM ROT IN MARIGOLD.","RECOMMENDED FOR SPRAY CARBENDAZIM @1 GM/LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-02 16:05:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BLAST IN PADDY.","RECOMMEMDED SPRAY HEXACONAZOLE 5%SC @ 1.5 ML/LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BONGAON                                           ","2014-08-02 16:57:22.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN SPOT IN PADDY","RECOMMENDED FOR SPRAY CARBENDAZIM + MANCOZEB @ 2 GM /LIT.WATER","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-02 17:55:20.000"
"JAYAD","HORTICULTURE","Fruits","Mango","	Plant Protection	","CONTROL OF CATTER PILLER IN MANGO","RECOMMENDED FOR SPRAY AZADIRACHTIN 1%EC @ 3 ML / 1 LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-02 18:56:40.000"
"JAYAD","HORTICULTURE","Vegetables","Spine Gourd","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF RED BEETLE PUMPKIN IN SPINE GOURD.","RECOMMENDED FOR SPRAY BIFENTHRIN 10% EC @ 1.5 ML/LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-03 10:20:09.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FLOWER DROP IN BRINJAL.","RECOMMENDED FOR SPRAY ALPHA NEPTHALENE ACETIC ACID @ 1 ML/4.5 LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","HABRA-I                                           ","2014-08-03 12:00:09.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILIZER DOSE OF PADDY.","ADVICE SOIL TEST OR CONTACT WITH ADA / KPS","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-03 13:27:25.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF ALGE IN PADDY FIELD.","RECOMMENDED FOR APPLY OXADIAZONE @ 1200 ML + CUSO4 @ 6 KG/ ACRE.","WEST BENGAL","24 PARGANAS (NORTH)","DEGANGA                                           ","2014-08-03 16:53:27.000"
"JAYAD","HORTICULTURE","Fruits","Ber","Nutrient Management","DEFFICIENCY OF MICRONUTRIENT IN BER.","APPLY GRADE -2 @ 2GM/LIT. OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","DEGANGA                                           ","2014-08-03 16:54:53.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FRUIT BORER IN BRINJAL.","RECOMMENDED FOR SPRAY TRIAZOPHOS 40% EC @ 1 ML/LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-03 19:53:49.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BLIGHT IN BRINJAL.","RECOMMENDED FOR SPRAY CARBENDAZIM 50% WP @2 GM/LITRE OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-03 19:54:01.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Soil Testing","ASKING ABOUT SOIL TEST","ADVICE SOIL TEST AND CONTACT WITH LOCAL A.D.A","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-04 07:15:52.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILIZER APPLICATION OF PADDY.","RECOMMENDED FOR ADVICE TO CONTACT WITH A.D.A FOR SOIL TEST AFTER THAN CONTACT WITH US.","WEST BENGAL","24 PARGANAS (NORTH)","","2014-08-04 10:05:35.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILIZER DOSE OF PADDY.","RECOMMENDER FOR ADVICE SOIL TEST OR CONTACT WITH ADA / KPS, BLOCK.","WEST BENGAL","24 PARGANAS (NORTH)","GAIGHATA                                          ","2014-08-04 12:27:55.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILIZER DOSE OF BANSMOTI PADDY.","RECOMMANDED FOR ADVICE SOIL TEST AND CONTACT WITH ADA-03217237031/ SUB DIVIN. -03217265348.","WEST BENGAL","24 PARGANAS (NORTH)","BADURIA                                           ","2014-08-04 15:41:10.000"
