"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","CONTROL OF LEAF CURL IN BITTER GOURD","SPRAY DIMETHOATE 30% EC @ 2ML/LIT. OF WATER","WEST BENGAL","MIDNAPUR (WEST)","","2014-08-01 07:26:29.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PADDY STEM BORER.","SPRAY ACEPHATE 75% WP @ 1 GM./LIT. OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","DANTAN-II                                         ","2014-08-01 08:09:54.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather report","rain will fall","WEST BENGAL","MIDNAPUR (WEST)","DANTAN-II                                         ","2014-08-01 08:21:37.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","CONTROL OF STEM BORER IN PADDY","SPRAY AZADIRECTHIN 1% @ 3 ML /LIT OF WATER","WEST BENGAL","MIDNAPUR (WEST)","DANTAN-II                                         ","2014-08-01 08:26:40.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","ASKING ABOUT DOSE OF AZADIRECHTIN 10000ppm.","APPLY AZADIRECHTIN 10000 ppm @ 3 ML/ LIT. OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","DANTAN-II                                         ","2014-08-01 08:35:21.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","ASKING ABOUT FERTLIZER DOSE IN PADDY","CONTACT WITH BLOCK A.D.A.","WEST BENGAL","MIDNAPUR (WEST)","GARBETA-II                                        ","2014-08-01 08:39:25.000"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF FLOWER DROPPING OF COCONUT","SPRAY ALPHA NAPTHALENE ACETIC ACID @ 1 ML/4.5 LT. OF WATER","WEST BENGAL","MIDNAPUR (WEST)","DEBRA                                             ","2014-08-01 08:42:52.000"
"JAYAD","AGRICULTURE","Others","Others","Soil Testing","WHERE SHOULD I CONTACT FOR SOIL TESTING.","CONTACT WITH A.D.A. AT YOUR BLOCK.","WEST BENGAL","MIDNAPUR (WEST)","GARBETA-I                                         ","2014-08-01 09:40:57.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","CONTROL OF STEM BORER IN PADDY","SPRAY AZADIRECTHIN 1% @ 3 ML/LIT OF WATER","WEST BENGAL","MIDNAPUR (WEST)","GARBETA-I                                         ","2014-08-01 09:44:47.000"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF FRUIT DROPPING IN COCONUT","SPRAY BORON 2GM/LIT OF WATER","WEST BENGAL","MIDNAPUR (WEST)","","2014-08-01 10:42:40.000"
"JAYAD","HORTICULTURE","Fruits","Papaya","	Plant Protection	","MALIBUG ATTACK IN PAPAYA","ACETAMAPRID @ 1GM/3KITTER OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","PINGLA                                            ","2014-08-01 11:01:10.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILIZER DOSE OF PADDY.","ADVICE SOIL TEST OR CONTACT WITH ADA / KPS, BLOCK.","WEST BENGAL","MIDNAPUR (WEST)","GARBETA-I                                         ","2014-08-01 11:11:01.000"
