"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF FRUIT DROP IN COCONUT","RECOMMENDED FOR SPRAY ALPHA NAPTHALENE ACETIC ACID @ 1 ML / 4.5 LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","MAHISHADAL                                        ","2014-09-04 08:21:37.330"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF FRUIT DROP IN COCONUT","RECOMMENDED FOR SPRAY ALPHA NAPTHALENE ACETIC ACID @ 1 ML / 4.5 LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","MAHISHADAL                                        ","2014-09-04 08:21:56.617"
"KHARIF","HORTICULTURE","","","","CHILLI SEEDLINGS ROOT ROT.","RECOMMENDED FOR CARBENDAZIM  50% WP @ 1 GM./LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","PANSKURA-I                                        ","2014-09-04 10:04:34.693"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","CONTROL OF SOFT ROT IN GINGER.","RECOMMENDED FOR COPPER OXYCHLORIDE 50% WP @ 4 GM/ LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","PATASHPUR-II                                      ","2014-09-04 14:56:36.043"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BLIGHT IN PADDY.","RECOMMENDED FOR SPRAY 5% EC @ 1.5 ML/LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","TAMLUK                                            ","2014-09-04 17:09:00.823"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF STEM BORER IN PADDY.","RECOMMENDED FOR SPRAY ACEPHATE 75% SP @ 0.75 GM/ LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","EGRA-II                                           ","2014-09-04 19:03:13.453"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF LEAF CURL IN BRINJAL","RECOMMENDED FOR SPRAY DIMETHOATE 50% WP @ 2.5GM/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","CONTAI-III                                        ","2014-09-05 06:40:48.560"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DOSES OF TRICYCLAZOLE + MANCOZEB","RECOMMENDED FOR SPRAYING TRICYCLAZOLE + MANCOZEB @ 2 GM/L OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","NANDIGRAM-II                                      ","2014-09-05 10:06:00.333"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","WANT TO KNOWN ABOUT LEAF CURL IN CHILLI.","RECOMMENDED FOR SPRAY FENAZAQUIN 10% EC @ 1.5 ML/LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","PANSKURA-I                                        ","2014-09-05 10:30:21.773"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF RED BETTLE PUMPKIN IN CUCUMBER","RECOMMENDED FOR SPRAY ACETAMIPRID 20% S.P. @ 0.25 GM/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","RAMNAGAR-II                                       ","2014-09-05 11:43:41.250"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF RED BETTLE PUMPKIN IN CUCUMBER","RECOMMENDED FOR SPRAY ACETAMIPRID 20% S.P. @ 0.25 GM/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","RAMNAGAR-II                                       ","2014-09-05 11:43:41.250"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","CONTROL OF BLACK LEAF ROT IN BETEL VINE.","RECOMMENDED FOR SPRAY COPPER OXYCHLORAIED @ 2.5 GM / LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","MOYNA                                             ","2014-09-05 14:30:27.270"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF SEED ROT IN PADDY.","RECOMMENDED FOR SPRAY HEXACONAZOLE @ 1.5 ML / LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","MOYNA                                             ","2014-09-05 15:35:28.227"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","CONTROL OF BACTAREIAL LEAF SPOT IN BETEL VINE","RECOMMENDED FOR SPRAY STEPTOMYCINE SULPHATE + TETRACYCLINE HYDROCLORIED @ 1.5GM /LIT OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","MOYNA                                             ","2014-09-05 16:24:03.600"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","CONTROL OF STEM BORER IN MAIZE","RECOMMENDED FOR SPRAY AZADIRACHTIN 1% EC @ 3ML/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","NANDIGRAM-I                                       ","2014-09-05 16:41:38.750"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF SHOOT BORER IN BRINJAL.","RECOMMENDED FOR SPRAY FLUBENDIAMIED @ 1 GM / 4 LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","MAHISHADAL                                        ","2014-09-05 17:29:00.503"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF STEM BRORER IN PADDY","RECOMMENDED FOR SPRAY CARTAP HYDROCLORIED 50%SP @ 1GM /LIT OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","BHAGAWANPUR-I                                     ","2014-09-06 11:59:05.010"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF LEAF CURL IN CHILLI","RECOMMENDED FOR SPRAY SPIROMESIFEN 22.9% SC @ 1.5 ML/2 LT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","DESHAPRAN                                         ","2014-09-06 16:35:22.953"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF LEAF INSECT IN PADDY","RECOMMENDED FOR SPRAY CARTAP HYDROCHLORIDE 50% SP @ SP @ 1GM/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","BHAGAWANPUR-I                                     ","2014-09-06 19:00:46.760"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF LEAF INSECT IN PADDY","RECOMMENDED FOR SPRAY CARTAP HYDROCHLORIDE 50% SP @ SP @ 1GM/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","BHAGAWANPUR-I                                     ","2014-09-06 19:01:05.773"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","CONTROL OF RHIZOME WEEVIL IN BANANA.","RECOMMENDED FOR SPRAY DIMETHOATE 30%EC @ 2 ML / LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","SUTAHATA                                          ","2014-09-06 19:29:36.320"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","CONTROL OF STEM ROT OF BETEL VINE","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50% W.P. @ 4 GM/LT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","KHEJURI-II                                        ","2014-09-06 21:10:36.593"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF SHOOT AND FRUIT BORER  IN BRINJAN","RECOMMENDED FOR SPRAY AZADIRACHTIN 1%EC @ 3ML/LIT. OPF WATER","WEST BENGAL","MIDNAPUR ( EAST)","CONTAI-III                                        ","2014-09-06 21:24:32.787"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","CONTROL OF LEAF ROT AND SHOOT ROT IN BETEL VINE.","RECOMMENDED FOR SPRAY COPPER-OXY-CHLORIDE 50 % WDP @ 4 GM/LITRE OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","RAMNAGAR-I                                        ","2014-09-07 07:02:39.567"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","BACTERIAL WILT IN BRINJAL","RECOMMENDED FOR SPRAYING STREPTOCYCLIN @ 1GM/10 L OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","CONTAI-III                                        ","2014-09-07 10:34:11.400"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BACTERIL WILT IN BRINJAL.","RECOMMENDED FOR SPRAY  STREPTOCYCLINE @ 1 GM/10LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","CONTAI-III                                        ","2014-09-07 10:34:33.773"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","CONTROL OF WHITE FLY IN BHINDI.","RECOMMENDED FOR SPRAY ACETAMIPRID 20%SP @ 1 GM/5LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","CONTAI-III                                        ","2014-09-07 10:36:45.790"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FLOWER DROP IN BRINJAL.","RECOMMENDED FOR SPRAY  ALPHA NAPTHALENE ACETIC ACID @ 1 ML/4.5LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","CONTAI-III                                        ","2014-09-07 10:38:36.480"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF INMATURE FRUIT DROP IN COCONUT.","","WEST BENGAL","MIDNAPUR ( EAST)","BHAGAWANPUR-I                                     ","2014-09-07 11:57:31.133"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING FOR ALTERNATIVE CROPS CULTIVATED IN KHARID","RECOMMENDED TO ADVICE FOLLOW.","WEST BENGAL","MIDNAPUR ( EAST)","RAMNAGAR-II                                       ","2014-09-07 15:11:54.053"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF YELLOW LEAF IN PADDY.","RECOMMENDED FOR SPRAY MANCOZEB @ 2.5 GM / LIT OF WATER. AFTER 3 DAYS SPRAY CHILLATED ZINC @ 0.5 GM / LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","PATASHPUR-II                                      ","2014-09-07 17:55:02.590"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF RED LEAF IN PADDY.","RECOMMENDED FOR SPRAY MANCOZEB @ 2.5 GM / LIT OF WATER. AFTER 3 DAYS SPRAY CHILLATED ZINC @ 0.5 GM / LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","EGRA-I                                            ","2014-09-07 19:00:56.423"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF LEAF BLAST IN PADDY.","RECOMMENDED FOR SPRAY PROPICONAZOLE 25% EC @ 1.5 ML / 2 LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","BHAGAWANPUR-I                                     ","2014-09-08 07:59:32.167"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","CONTROL OF LEAF SPOT IN BETEL VINE","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50% W.P. @ 2.5 GM/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","MOYNA                                             ","2014-09-08 08:48:32.087"
"KHARIF","HORTICULTURE","Flowers","Marigold","	Plant Protection	","CONTROL OF LEAF YELLOWISH IN MARIGOLD.","RACOMMENDED FOR SPRAY MENCOZEB @ 2.5GM/LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","CONTAI-I                                          ","2014-09-08 16:31:04.180"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF WEED IN TRANSPLANTED PADDY SOWING AFTER 36 DAYS.","RECOMMENDED FOR APPLY MECHANICAL CONTROL.","WEST BENGAL","MIDNAPUR ( EAST)","PATASHPUR-II                                      ","2014-09-08 17:03:54.183"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PADDY STEM BORER.","RECOMMENDED FOR SPRAY ACEPHATE 75%WP @ 1 GM./LIT. OF WATER FOR PADDY STEM BORER.","WEST BENGAL","MIDNAPUR ( EAST)","NANDIGRAM-I                                       ","2014-09-08 18:50:06.733"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF SHEATH BLIGHT IN PADDY.","RECOMMENDED FOR SPRAY PROPICONAZOLE 25% EC @0.75 ML/LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","BHAGAWANPUR-II                                    ","2014-09-08 19:22:02.537"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","TO CONTROL OF BACTERIAL LEAF SPOTS IN BETEL VINE.","SPRAY -1 st DAY SPRAY MORDA MIXTURE 1% @15 LIT/1000 PLANT ,2nd  DAY SPRAY STREPTAMYCIN + TETRACYCLIN HYDROCLORIDE @2.5 GM/10 LIT OF WATER.15 LIT WATER REQURED FOR 1000 PLANT.
7 th DAY SPRAY COPPER OXYCHLORIDE 50% @2.5 GM/LIT OF WATER. 15 th DAY STREPTAMYCIN SULPHET +TETRACYCHLIN HYDROCHLORIDE@ 2.5 GM/LIT OF WATER.OR VALIDAMYCIN .28 th DAY TRICHODARMA VIRIDI+ SIDOMONAS FLUROCENCE
26 th DAY AGEN.","WEST BENGAL","MIDNAPUR ( EAST)","EGRA-I                                            ","2014-09-08 20:40:03.470"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","ASKING ABOUT SEED TREATMENT IN OKRA.","RECOMMENDED FOR SPRAY CARBENDAZIM @ 2-3GM/KG OF SEED.","WEST BENGAL","MIDNAPUR ( EAST)","SUTAHATA                                          ","2014-09-09 15:37:01.703"
"KHARIF","HORTICULTURE","Flowers","Rose","	Plant Protection	","CONTROL OF LEAF SPOT IN ROSE","RECOMMENDED FOR SPRAY COPPER OXY CHLORIDE 50% WP @ 4GM/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","PANSKURA-I                                        ","2014-09-09 15:55:47.367"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","FERTILIZER DOSE OF PADDY.","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA, BLOCK 03220243800/ SBU DIVIN.-03220245703.","WEST BENGAL","MIDNAPUR ( EAST)","PATASHPUR-II                                      ","2014-09-09 17:56:36.103"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF ALGE IN PADDY FIELD.","RECOMMENDED FOR USE OXADIOZON 25% EC @ 1.5 LIT / ACRE + COPPER SULPHATE @ 6 KG @ / ACRE.","WEST BENGAL","MIDNAPUR ( EAST)","EGRA-II                                           ","2014-09-09 18:06:30.087"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","FERTILIZER DOSE OF BANANA","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA, BLOCK.","WEST BENGAL","MIDNAPUR ( EAST)","KHEJURI-II                                        ","2014-09-09 18:59:42.153"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF WHITE FLY IN BRINJAL.","RECOMMENDED FOR SPRAY ACETAMIPRID 20%SP @ 1 GM/5 LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","MAHISHADAL                                        ","2014-09-09 19:51:33.437"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","WHERE SHOULD I CONTACT FOR SOIL TESTING.","ADVICE TO CONTACT WITH A.D.A. AT BLOCK.","WEST BENGAL","MIDNAPUR ( EAST)","PATASHPUR-I                                       ","2014-09-10 10:37:46.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF GANDHI BUG IN PADDY.","RECOMMENDED FOR SPRAY FENVALERATE 20EC @ 1ML/LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","EGRA-II                                           ","2014-09-10 10:47:21.343"
"KHARIF","HORTICULTURE","Fruits","Ber","	Plant Protection	","LEAF HOPPER IN BER","RECOMMENDED FOR SPRAY ACEPHATE @ 8 GM/ 10 LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","TAMLUK                                            ","2014-09-10 11:18:36.587"
"KHARIF","HORTICULTURE","Fruits","Ber","	Plant Protection	","CONTROL OF MEALY BUG IN BER.","RECOMMENDED FOR SPRAY DIMETHOATE 30%EC @ 2 ML/LIT.OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","TAMLUK                                            ","2014-09-10 11:31:27.080"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","SOME VARIETY OF CAULIFLOWER FOR PLAINS AREA.","YOUR RECOMMENDED VARIETIES ARE Early Synthetic, Pawas, NS131, Tropi cross Marval ETC.","WEST BENGAL","MIDNAPUR ( EAST)","SHAHID MATANGINI                                  ","2014-09-10 15:10:27.137"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","Seeds and Planting Material","SOME CABBAGE VARIETY FOR PLAIN AREA.","YOUR RECOMMENDED VARIETIES ARE Golden Acre, Maha Rani ETC.","WEST BENGAL","MIDNAPUR ( EAST)","SHAHID MATANGINI                                  ","2014-09-10 15:12:06.287"
"KHARIF","HORTICULTURE","Vegetables","Amarphophallus (Surankand/Elephant Foot Yam)","Seeds and Planting Material","SOME VARIETY OF ELEPHANT FRUIT.","RECOMMENDED VARIETIES ARE LARGE GREEN, PUSA KANCHAN,WHITE VIENA ETC.","WEST BENGAL","MIDNAPUR ( EAST)","SHAHID MATANGINI                                  ","2014-09-10 15:23:09.533"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","Fertilizer Use and Availability","FERTILIZER DOSE OF BETEL VINE.","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA, BLOCK.","WEST BENGAL","MIDNAPUR ( EAST)","SHAHID MATANGINI                                  ","2014-09-10 15:34:48.173"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","CONTROL OF ROOT ROT IN BANANA.","RECOMMENDED FOR SPRAY PROPICONAZOLE @ 0.75 ML/ LIT.OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","KHEJURI-I                                         ","2014-09-10 15:55:00.320"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","CONTROL OF BROWN SPOTS IN PADDY","RACOMMENDED DOSE SPRAY CARBENDAZIM 12% + MANCOZEB 63% @ 2 GM","WEST BENGAL","MIDNAPUR ( EAST)","KHEJURI-I                                         ","2014-09-10 16:12:38.893"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ATTACK OF LEAF ROLLER IN PADDY FIELD","RECOMMENDED FOR SPRAY OF TRIAZOPHOS 40 % EC @ 1 ML/LIT OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","BHAGAWANPUR-II                                    ","2014-09-10 17:48:06.473"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF SHEATH BLIGHT IN PADDY","RECOMMENDED FOR SPRAY VALIDAMYCIN 3L @ 2ML/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","PATASHPUR-II                                      ","2014-09-10 17:54:02.790"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ASKING ABOUT KISAN CREDIT CARD","CONTACT WITH LOCAL A.D.A","WEST BENGAL","MIDNAPUR ( EAST)","KHEJURI-II                                        ","2014-09-10 20:28:24.400"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF STEM BORER IN PADDY.","RECOMMENDED FOR SPRAY ACEPHATE 75%SP @ 0.75 GM/ LIT. OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","NANDIGRAM-I                                       ","2014-09-11 08:06:44.237"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","CULTIVATION OF PADDY","CONTACT WITH BLOCK  [ ASSISTANT DIRECTOR OF AGRICULTURE(A.D.A)]","WEST BENGAL","MIDNAPUR ( EAST)","PATASHPUR-I                                       ","2014-09-11 09:34:25.137"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF LEAF BLIGHT IN PADDY.","RECOMMENDED FOR SPRAY CARBENDAZIM 12% + MENCOZEB 63% WP @ 2 GM/LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","EGRA-I                                            ","2014-09-11 09:35:40.867"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ATTACK OF CATERPILLARS IN PADDY FIELD","RECOMMENDED FOR SPRAY OF CHLORPYRIPHOS 20 % EC @ 2.5 ML/LIT OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","EGRA-I                                            ","2014-09-11 09:42:32.927"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF STEM ROT IN PADDY","RECOMMENDED FOR SPRAY HEXACONAZOLE 5% EC @ 1.5ML/LIT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","BHAGAWANPUR-II                                    ","2014-09-11 09:59:17.023"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILIZER DOSE OF PADDY.","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA, BLOCK.","WEST BENGAL","MIDNAPUR ( EAST)","TAMLUK                                            ","2014-09-11 10:46:05.643"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILIZER DOSE OF PADDY.","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA, BLOCK.","WEST BENGAL","MIDNAPUR ( EAST)","TAMLUK                                            ","2014-09-11 10:50:35.953"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF LEAF ROLLER IN PADDY.","RECOMMENDED FOR SORAY CHLORPYRIPHOS @ 2.5 ML / LIT OF WATER.","WEST BENGAL","MIDNAPUR ( EAST)","PATASHPUR-I                                       ","2014-09-11 19:16:22.490"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FLOWER DROPPING OF BRINJAL","RECOMMENDED FOR SPRAY ALPHA NAPTHALENE ACETIC ACID @ 1 ML/4.5 LT. OF WATER","WEST BENGAL","MIDNAPUR ( EAST)","CONTAI-III                                        ","2014-09-11 19:47:12.220"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Organic Farming","KISAN CREDIT CARD","CONTACT A.D.A.OFFICE","WEST BENGAL","MIDNAPUR ( EAST)","SHAHID MATANGINI                                  ","2014-09-11 21:11:22.083"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","Seeds and Planting Material","ASKING ABOUT EARLY IMPROVE VARIETIES NAME OF CABBAGE.","VARIETIES NAME OF CABBAGE IS GOLDEN ACRE, PRIDE OF INDIA, ERLY DRUM HEAD ETC.","WEST BENGAL","MIDNAPUR ( EAST)","TAMLUK                                            ","2014-09-12 10:25:36.623"
